element wavelength
NV4620   4619.97
SiIV4631 4631.2400
NIII4634 4634.1400
NIII4641 4640.6400
NIII4642 4641.9100
CIII4647 4647.4200
CIII4650 4650.2500
CIII4651 4651.4700
FeI4667  4667.4528
FeI4668  4668.1341
NII4675  4674.9080
NII4678  4678.1350
HeII4685 4685.8041 
SII4700  4700.2040
MgI4703  4702.9909
FeI4709  4709.0878
HeI4713  4713.1457
HBeta    4861.3500
FeI4891  4891.4921
HeI4922  4921.9313
OII4959  4958.9110
OIII5007 5006.8430
SII5010  5009.5670
SII5014  5014.0420
HeI5016  5015.6783
FeI5048  5048.436
FeI5050  5049.8194
MgI5167  5167.3216 
MgI5172  5172.6843
MgI5183  5183.6042
FeI5192  5192.3439
FeI5265  5265.2436
FeI5270  5269.5370
FeI5535  5535.4175
FeI5539  5538.5160
HeII5412 5411.52
FeI5447  5446.9164
FeI5592  5592.234
FeI5659  5658.5313
FeI5740  5739.7800
FeI5742  5741.8500
FeI5828  5827.8767  
FeI5828  5828.4041  
HeI5876  5875.621
NaI5890  5889.9510
NaI5896  5895.9240
OI6300   6300.304
OI6364   6363.776
FeI6344  6344.1487
SiII6347 6347.10
SiII6371 6371.36
FeII6456 6456.3805
FeI6495  6494.9800
NaII6531 6530.698
NII6548  6548.05
HAlpha   6562.7900
NII6583  6583.45
FeI6591  6591.3125
FeI6593  6592.9134
HeI6678  6678.1517
SII6716  6716.440 
CaI6718  6717.69
NI6723   6722.62
SII6731  6730.815
NaI6743  6743.1445
FeI6750  6750.1520
FeI6829  6828.5908 
MgI7060  7060.4090
HeI7065  7065.1900
ArIII7136 7135.80
FeI7224  7223.6600
HeI7281  7281.349
KI7665   7664.89913
KI7699   7698.96456 
FeI7743  7742.7043
FeI7746  7745.5135
ArIII7751 7751.06
OI7772   7771.94 
OI7774   7774.17
OI7775   7775.39
FeI8388  8387.7719
Pa20     8392.4000
Pa19     8413.3200
TiI8435  8434.959
Pa18     8437.9500
OI8446   8446.3600
Pa17     8467.2600
CaII8498 8498.0200
Pa16     8502.4870
FeI8514  8514.0716
CaII8542 8542.0900
Pa15     8545.3870
SiI8556  8556.780
NI8568   8567.7400
Pa14     8598.3960
FeI8622  8621.6001
SiI8648  8648.462
CaII8662 8662.1400
Pa13     8665.0220
SI8670   8670.22 
FeI8675  8674.746
FeI8690  8688.6249
SI8693   8693.24
MgI8736  8736.021
Pa12     8750.4760
FeI8805  8804.6253
MgI8807  8806.757
FeI8824  8824.2205
Pa11     8862.7830
FeI8927  8926.6574
FeI8929  8929.0771 
Pa10     9014.9100
SIII9071 9068.6 
Pa9      9229.0140
Pa8      9545.9720
